Max von Sydow	Three Days of the Condor	1975
Cate Blanchett	The Man Who Cried	2000
Steve Martin	The Pink Panther 2	2009
Guillermo Diaz	Party Girl	1995
Joseph Fiennes	Leo	2002
Stephen Rea	Guinevere	1999
Alan Alda	Flash of Genius	2008
Victoria Abril	Mater amatisima	1980
John Rhys-Davies	Concrete Blondes	2013
Joel Edgerton	Zero Dark Thirty	2012
Andrew Scott	A Dark Place	2018
Laurel Holloman	Loser Love	1999
Toby Jones	Words of Everest	2013
Mary Steenburgen	O Lucky Malcolm!	2006
Craig Fairbrass	Gunned Down	2017
Usher Raymond	Justin Bieber's Believe	2013
Corey Feldman	Terror Inside	2008
Javier Camara	La torre de Suso	2007
James Le Gros	Scotland, Pa.	2001
Eddie Murphy	The Haunted Mansion	2003
Jeffrey Combs	Dark House	2009
Robert Downey Jr.	True Believer	1989
Javier Bardem	Love in the Time of Cholera	2007
James Cameron	Solartaxi: Around the World with the Sun	2010
Goldie Hawn	Best Friends	1982
Zac Efron	Mike and Dave Need Wedding Dates	2016
Sonia Braga	The Milagro Beanfield War	1988
J.E. Freeman	Wild at Heart	1990
Glenn Close	What I Want My Words to Do to You: Voices from Inside a Women's Maximum Security Prison	2003
Marilyn Hassett	Massive Retaliation	1984
Rutger Hauer	New World Disorder	1999
Kelsey Grammer	I Don't Know How She Does It	2011
Theo Forsett	Tammy and the T-Rex	1994
Thom Christopher	Deathstalker and the Warriors from Hell	1988
Lili Taylor	The Pier	2011
Maxwell Caulfield	Dog Lover's Symphony	2006
Til Schweiger	Deuce Bigalow: European Gigolo	2005
Dewey Martin	Cordillera	1964
Oliver Platt	A Merry Friggin' Christmas	2014
Michel Bouquet	Defense de savoir	1973
Tadanobu Asano	Kaza-hana	2000
Ed Begley Jr.	John Belushi: Dancing on the Edge	2010
James Mason	Evil Under the Sun	1982
Johanna Wokalek	The Coming Days	2010
Robert Ryan	Lawman	1971
Craig Sheffer	Blue Desert	1990
Rosie Perez	Dance with the Devil	1997
Jeff Goldblum	Invasion of the Body Snatchers	1978
John Carroll Lynch	The Naked Man	1998
Nicholas Kristof	Thank You for Your Service	2015
Tom Berenger	Eddie and the Cruisers	1983
Richard Roundtree	Bad Jim	1990
Gianluca Favilla	Al calar della sera	1992
Brett Halsey	Espionage in Lisbon	1965
Natasha Henstridge	Species	1995
Robert Davi	Club Life	2015
Adrian Lee	Loggerheads	2005
John Turturro	Two Thousand and None	2000
Mindy Robinson	Evil Bong 666	2017
Jonathan Lipnicki	For the Love of Money	2012
Burt Young	The Day the Ponies Come Back	2000
Timothy Spall	Upside Down	2012
Meadow Williams	Light Years Away	2008
Matthew McConaughey	Two for the Money	2005
Alicia Silverstone	Gods Behaving Badly	2013
Dermot Mulroney	Living in Oblivion	1995
William Zappa	Federation	1999
Helen Slater	The Curse of Downers Grove	2015
Rosie O'Donnell	The Flintstones	1994
Donald Pleasence	River of Death	1989
Jane Fonda	Acting: Lee Strasberg and the Actors Studio	1981
Beverly D'Angelo	The Miracle	1991
